series,species,site,series_no,site_name,site_longitude,site_latitude,site_easting,site_northing,mch_ind_closest,mch_easting,mch_northing,mch_elevation,mch_site_eucldist,species_site
19,Fagus sylvatica,Bachtel-Forest,1,Bachtel-Forest,8.89016,47.29413,2709787.1008347,1239153.15336699,46975,2710088.03704249,1239223.00205218,882.140575408936,308.935980399502,Fagus sylvatica_Bachtel-Forest
120,Quercus petraea,Bueren-Forest,2,Bueren-Forest,7.67722,47.46111,2617990.82013854,1256730.54340599,28625,2618032.71452924,1256243.90041714,537.765575408936,488.442973709479,Quercus petraea_Bueren-Forest
121,Quercus petraea,Bueren-Forest,3,Bueren-Forest,7.67722,47.46111,2617990.82013854,1256730.54340599,28625,2618032.71452924,1256243.90041714,537.765575408936,488.442973709479,Quercus petraea_Bueren-Forest
136,Carpinus betulus,Bursins-Forest,4,Bursins-Forest,6.2837,46.45552,2511270.67950274,1145564.23377686,6353,2511186.85845845,1145981.27323221,643.515575408936,425.379683088308,Carpinus betulus_Bursins-Forest
137,Carpinus betulus,Bursins-Forest,5,Bursins-Forest,6.2837,46.45552,2511270.67950274,1145564.23377686,6353,2511186.85845845,1145981.27323221,643.515575408936,425.379683088308,Carpinus betulus_Bursins-Forest
138,Carpinus betulus,Bursins-Forest,6,Bursins-Forest,6.2837,46.45552,2511270.67950274,1145564.23377686,6353,2511186.85845845,1145981.27323221,643.515575408936,425.379683088308,Carpinus betulus_Bursins-Forest
139,Carpinus betulus,Bursins-Forest,7,Bursins-Forest,6.2837,46.45552,2511270.67950274,1145564.23377686,6353,2511186.85845845,1145981.27323221,643.515575408936,425.379683088308,Carpinus betulus_Bursins-Forest
193,Corylus avellana,Choeliacher-Orchard,8,Choeliacher-Orchard,8.077983,47.43845,2648229.4598664,1254380.00798711,34670,2648237.2134194,1253891.0668702,632.765575408936,489.002590370226,Corylus avellana_Choeliacher-Orchard
194,Corylus avellana,Choeliacher-Orchard,9,Choeliacher-Orchard,8.077983,47.43845,2648229.4598664,1254380.00798711,34670,2648237.2134194,1253891.0668702,632.765575408936,489.002590370226,Corylus avellana_Choeliacher-Orchard
288,Picea abies,Davos-Seehornwald,10,Davos-Seehornwald,9.8558,46.81522,2784445.43555042,1187737.24036035,61487,2784281.78583698,1188253.60246003,1661.89057540894,541.674299463154,Picea abies_Davos-Seehornwald
347,Picea abies,Davos-Seehornwald,11,Davos-Seehornwald,9.8558,46.81522,2784445.43555042,1187737.24036035,61487,2784281.78583698,1188253.60246003,1661.89057540894,541.674299463154,Picea abies_Davos-Seehornwald
357,Picea abies,Davos-Seehornwald,12,Davos-Seehornwald,9.8558,46.81522,2784445.43555042,1187737.24036035,61487,2784281.78583698,1188253.60246003,1661.89057540894,541.674299463154,Picea abies_Davos-Seehornwald
377,Fagus sylvatica,Genolier-Forest,13,Genolier-Forest,6.22882,46.4341,2507018.03677382,1143246.99491523,5455,2506801.57119588,1143614.1177195,551.765575408936,426.188338466945,Fagus sylvatica_Genolier-Forest
379,Fagus sylvatica,Genolier-Forest,14,Genolier-Forest,6.22882,46.4341,2507018.03677382,1143246.99491523,5455,2506801.57119588,1143614.1177195,551.765575408936,426.188338466945,Fagus sylvatica_Genolier-Forest
380,Fagus sylvatica,Genolier-Forest,15,Genolier-Forest,6.22882,46.4341,2507018.03677382,1143246.99491523,5455,2506801.57119588,1143614.1177195,551.765575408936,426.188338466945,Fagus sylvatica_Genolier-Forest
557,Picea abies,Hohtenn-Gampel-Forest,16,Hohtenn-Gampel-Forest,7.77653,46.32265,2626022.94974049,1130194.87401456,29183,2625528.64227413,1129685.18502107,900.140575408936,710.016014878752,Picea abies_Hohtenn-Gampel-Forest
558,Picea abies,Hohtenn-Gampel-Forest,17,Hohtenn-Gampel-Forest,7.77653,46.32265,2626022.94974049,1130194.87401456,29183,2625528.64227413,1129685.18502107,900.140575408936,710.016014878752,Picea abies_Hohtenn-Gampel-Forest
664,Picea abies,Laegeren-Hut,18,Laegeren-Hut,8.36439,47.47833,2669781.15449469,1259029.13909048,38930,2669269.85419017,1259026.91035279,625.265575408936,511.305161984022,Picea abies_Laegeren-Hut
696,Pinus sylvestris,Lens-Forest,19,Lens-Forest,7.43611,46.26806,2599804.62011695,1124070.59953582,24027,2600039.60578134,1124405.42367018,842.140575408936,409.054352644315,Pinus sylvestris_Lens-Forest
817,Pseudotsuga menziesii,Muri-Forest,20,Muri-Forest,8.35664,47.26854,2669469.8311659,1235698.98408307,38685,2668919.46272355,1235654.76859272,471.265575408936,552.141677396079,Pseudotsuga menziesii_Muri-Forest
838,Pseudotsuga menziesii,Muri-Forest,21,Muri-Forest,8.35664,47.26854,2669469.8311659,1235698.98408307,38685,2668919.46272355,1235654.76859272,471.265575408936,552.141677396079,Pseudotsuga menziesii_Muri-Forest
849,Fagus sylvatica,Neunkirch-North,22,Neunkirch-North,8.53389,47.68358,2682238.19383019,1282013.14930474,41638,2681917.83746682,1281689.30584296,538.390575408936,455.524738390272,Fagus sylvatica_Neunkirch-North
850,Fagus sylvatica,Neunkirch-North,23,Neunkirch-North,8.53389,47.68358,2682238.19383019,1282013.14930474,41638,2681917.83746682,1281689.30584296,538.390575408936,455.524738390272,Fagus sylvatica_Neunkirch-North
853,Quercus petraea,Neunkirch-Southeast,24,Neunkirch-Southeast,8.53605,47.68213,2682402.6213969,1281854.19957433,41638,2681917.83746682,1281689.30584296,538.390575408936,512.059958895957,Quercus petraea_Neunkirch-Southeast
854,Quercus petraea,Neunkirch-Southeast,25,Neunkirch-Southeast,8.53605,47.68213,2682402.6213969,1281854.19957433,41638,2681917.83746682,1281689.30584296,538.390575408936,512.059958895957,Quercus petraea_Neunkirch-Southeast
856,Fagus sylvatica,Neunkirch-Southwest,26,Neunkirch-Southwest,8.52678,47.68198,2681706.84194088,1281827.82844363,41638,2681917.83746682,1281689.30584296,538.390575408936,252.403690269934,Fagus sylvatica_Neunkirch-Southwest
937,Pinus sylvestris,Pfynwald-Control,27,Pfynwald-Control,7.61157,46.30183,2613323.36590174,1127839.18137944,26718,2613304.91114832,1128174.19368295,603.265575408936,335.520225063447,Pinus sylvestris_Pfynwald-Control
970,Picea abies,Pfynwald-Illgraben-Northwest,28,Pfynwald-Illgraben-Northwest,7.62902,46.29352,2614670.05717528,1126918.50026587,26941,2614455.943008,1127099.40883688,848.015575408936,280.308379634815,Picea abies_Pfynwald-Illgraben-Northwest
971,Picea abies,Pfynwald-Illgraben-Northwest,29,Pfynwald-Illgraben-Northwest,7.62902,46.29352,2614670.05717528,1126918.50026587,26941,2614455.943008,1127099.40883688,848.015575408936,280.308379634815,Picea abies_Pfynwald-Illgraben-Northwest
1009,Pinus sylvestris,Pfynwald-Irrigation,30,Pfynwald-Irrigation,7.61157,46.30183,2613323.36590174,1127839.18137944,26718,2613304.91114832,1128174.19368295,603.265575408936,335.520225063447,Pinus sylvestris_Pfynwald-Irrigation
1010,Pinus sylvestris,Pfynwald-Irrigation,31,Pfynwald-Irrigation,7.61157,46.30183,2613323.36590174,1127839.18137944,26718,2613304.91114832,1128174.19368295,603.265575408936,335.520225063447,Pinus sylvestris_Pfynwald-Irrigation
1011,Pinus sylvestris,Pfynwald-Irrigation,32,Pfynwald-Irrigation,7.61157,46.30183,2613323.36590174,1127839.18137944,26718,2613304.91114832,1128174.19368295,603.265575408936,335.520225063447,Pinus sylvestris_Pfynwald-Irrigation
1114,Fagus sylvatica,Saillon-A860,33,Saillon-A860,7.16542,46.17113,2578898.28478177,1113332.33832485,19762,2579191.0819866,1113715.73515379,1024.64057540894,482.414066539871,Fagus sylvatica_Saillon-A860
1169,Fagus sylvatica,Schaenis-low,34,Schaenis-low,9.06654,47.16573,2723422.0327293,1225142.83719305,49650,2723936.16796465,1225214.24444927,1050.89057540894,519.070357917269,Fagus sylvatica_Schaenis-low
1180,Picea abies,Schmitten-Forest,35,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1181,Picea abies,Schmitten-Forest,36,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1182,Picea abies,Schmitten-Forest,37,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1183,Picea abies,Schmitten-Forest,38,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1184,Picea abies,Schmitten-Forest,39,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1186,Picea abies,Schmitten-Forest,40,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1187,Picea abies,Schmitten-Forest,41,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1232,Fagus sylvatica,Sihlwald-Forest,42,Sihlwald-Forest,8.56111,47.25056,2684970.55278437,1233901.35772386,41819,2684596.96425801,1233941.39045159,722.265575408936,375.727303128368,Fagus sylvatica_Sihlwald-Forest
